"Job","PO","Name","Line","Description","Part Num","Supplier Qty","Promise Date","Due Date","UOM","Supplier UOM","Buyer ID","CommentText"
"",706281,"Uline",3,"3 x 3 1⁄2"" Self-Seal Bubble Bags 1000/ctn.","S-10546",2.00,,7/7/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706281,"Uline",4,"Job Ticket Holders - 6 x 9"", Black 50/carton","S-2760BL",2.00,,7/7/2025 12:00:00 AM,"EA","EA","agarcia",""
"042532-9-1",706525,"R&J Metal Finishing",1,"BARREL, OBJ","062670",77.00,,10/10/2025 12:00:00 AM,"EA","EA","agarcia","Finish per drawing specifications.
Certification Required."
"042532-10-1",706525,"R&J Metal Finishing",2,"BARREL, OBJ","062670",75.00,,10/10/2025 12:00:00 AM,"EA","EA","agarcia","Finish per drawing specifications.
Certification Required."
"",706533,"DERRON SURGICAL INSTRUMENTS, INC.",1,"DERRON SURGICAL: 34-10 Pratt rectal speculum","34-10",5.00,,10/10/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706542,"Fry Steel Company",1,"1.25"" Ø KOVAR ROD             
ANNEALED, GROUND, ASTM-F15","KOR-F15-1.25 DIA",576.00,,10/15/2025 12:00:00 AM,"IN","IN","agarcia",""
"",706563,"DERRON SURGICAL INSTRUMENTS, INC.",1,"DERRON SURGICAL:22-564 (SAUERBRUCH RETRACTOR, 3/4"" X 2-7/8"".)","22-564",5.00,,10/31/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706575,"American Stainless Corporation",1,"Ã˜0.25"" x .035""t SS tube -  MTU 304 1/4"" x .035"" x 240"" TUBING SEAMLESS","SST-304-0.250X0.035WALL",144.00,,10/24/2025 12:00:00 AM,"IN","IN","agarcia",""
"",706610,"MOTZ GmbH",1,"INSTRUMENT HANDLE FOR ST. MARKS AND DEEP PELVIC RETRACTORS (motz 255 NR [rhino grip])","255 HANDLE",200.00,,12/15/2025 12:00:00 AM,"EA","EA","agarcia","0255NR"
"",706648,"Snow Metal Products LLC",1,".375 X 2.00 316L STAINLESS STEEL BAR","SSB-316L-.375X2.00""",1088.00,,11/17/2025 12:00:00 AM,"IN","IN","agarcia","- 316L Stainless Steel must be manufactured in North America.
- 316L Stainless Steel must not include any Vanadium."
"",706658,"Innofiber LLC",1,"FIBER OPTIC CABLE- 3.5MM DIAMETER, 90"" LONG. LASER MARKED WITH ESI LOGO, PART NUMBER 01-0350, FIBEROPTIC COMPONENTS JOB NUMBER.","IF.136-90SIL(ACMI)NEW",50.00,,11/21/2025 12:00:00 AM,"EA","EA","agarcia","Line #2 PN 03605 uses grey strains, remainder can be used
with grey strains that come in August timeframe."
"",706701,"DERRON SURGICAL INSTRUMENTS, INC.",1,"DERRON SURGICAL:34-214 (SUCTION LIGATOR, ANGLED DOWN.)","34-214",12.00,,12/31/2025 12:00:00 AM,"EA","EA","agarcia",""
